SEXE;REG_NAF;TR_ANC;NB_POSTES;REMU_TOT_ANNU
F;19_Q;10-14;169130;27693
F;19_Q;15-19;117981;27951
F;19_Q;20-29;82935;33670
F;19_Q;30+;41422;39350
F;20_R;00-05;48841;27761
F;20_R;06-09;9544;33697
F;20_R;10-14;9809;33525
F;20_R;15-19;7924;31316
F;20_R;20-29;7161;45706
F;20_R;30+;1769;53777
F;21_S;00-05;91904;25693
F;21_S;06-09;21721;23537
F;21_S;10-14;9529;35944
F;21_S;15-19;10380;39918
F;21_S;20-29;13220;25989
F;21_S;30+;5799;40296
H;04_BDE;00-05;122504;38498
H;04_BDE;06-09;28015;54479
H;04_BDE;10-14;38645;55701
H;04_BDE;15-19;31930;59607
H;04_BDE;20-29;25033;50344
H;04_BDE;30+;18527;54425
H;05_C;00-05;723676;35969
H;05_C;06-09;221308;46425
H;05_C;10-14;199808;58022
H;05_C;15-19;191705;51445
H;05_C;20-29;306590;50294
H;05_C;30+;185070;55956
H;06_F;00-05;464774;32631
H;06_F;06-09;98286;41403
H;06_F;10-14;131505;39330
H;06_F;15-19;73402;45213
H;06_F;20-29;63339;48039
H;06_F;30+;49671;43984
H;08_G;00-05;771574;32599
H;08_G;06-09;145120;47331
H;08_G;10-14;121049;51269
H;08_G;15-19;81236;52266
H;08_G;20-29;141747;45939
H;08_G;30+;51861;56263
H;09_H;00-05;342071;30426
H;09_H;06-09;114386;34312
H;09_H;10-14;129219;38495
H;09_H;15-19;95793;44833
H;09_H;20-29;149535;43765
H;09_H;30+;74405;47747
H;10_I;00-05;265381;24767
H;10_I;06-09;25251;36749
H;10_I;10-14;20991;37243
H;10_I;15-19;13901;37110
H;10_I;20-29;13149;46880
H;10_I;30+;5455;55144
H;11_J;00-05;312383;52143
H;11_J;06-09;58865;60443
H;11_J;10-14;53169;66424
H;11_J;15-19;34312;66940
H;11_J;20-29;50189;81223
H;11_J;30+;24667;83960
H;12_K;00-05;136867;65226
H;12_K;06-09;46078;76542
H;12_K;10-14;37275;95462
H;12_K;15-19;27182;98656
H;12_K;20-29;32404;90870
H;12_K;30+;22208;94879
H;13_L;00-05;36855;42224
H;13_L;06-09;8525;51957
H;13_L;10-14;6871;54414
H;13_L;15-19;9769;48641
H;13_L;20-29;10854;48571
H;13_L;30+;3852;53168
H;14_M;00-05;386793;49522
H;14_M;06-09;81917;63272
H;14_M;10-14;61964;64251
H;14_M;15-19;38322;73316
H;14_M;20-29;50216;78120
H;14_M;30+;22791;119705
H;15_N;00-05;658117;29503
H;15_N;06-09;100497;33785
H;15_N;10-14;74779;37973
H;15_N;15-19;45585;38952
H;15_N;20-29;30069;51967
H;15_N;30+;13127;49574
H;17_O;00-05;19387;31036
H;17_O;06-09;3834;41244
H;17_O;10-14;4199;43822
H;17_O;15-19;6112;39920
H;17_O;20-29;8879;47256
H;17_O;30+;3936;56968
H;18_P;00-05;17784;32886
H;18_P;06-09;2997;34345
H;18_P;10-14;1380;51895
H;18_P;15-19;4559;20226
H;18_P;20-29;1130;52971
H;18_P;30+;2502;53293
H;19_Q;00-05;234023;28108
H;19_Q;06-09;35433;32372
H;19_Q;10-14;48051;23610
H;19_Q;15-19;25837;34937
H;19_Q;20-29;26415;32113
H;19_Q;30+;9455;41606
H;20_R;00-05;65003;38969
H;20_R;06-09;8372;51352
H;20_R;10-14;9132;48786
H;20_R;15-19;8732;51429
H;20_R;20-29;5911;125588
H;20_R;30+;3868;57372
H;21_S;00-05;69100;26561
H;21_S;06-09;8027;38808
H;21_S;10-14;20193;44867
H;21_S;15-19;12918;39048
H;21_S;20-29;6483;46552
H;21_S;30+;1547;55040
F;04_BDE;E;75392;48368
F;05_C;E;641781;39693
F;06_F;E;102256;40038
F;08_G;E;1127479;31322
