SEXE;REG_NAF;A12;NB_POSTES;REMU_TOT_ANNU
F;19_Q;E1000;344221;27952
F;19_Q;E10_49;313841;23163
F;19_Q;E1_9;so;so
F;19_Q;E250_499;166958;27524
F;19_Q;E500_999;160636;27820
F;19_Q;E50_249;347907;28309
F;20_R;E1000;11248;45030
F;20_R;E10_49;45420;23460
F;20_R;E1_9;so;so
F;20_R;E250_499;3794;32214
F;20_R;E500_999;3342;29277
F;20_R;E50_249;21244;41659
F;21_S;E1000;16003;31618
F;21_S;E10_49;73686;25417
F;21_S;E1_9;so;so
F;21_S;E250_499;10031;31506
F;21_S;E500_999;7637;25844
F;21_S;E50_249;45195;29072
H;04_BDE;E1000;154992;53712
H;04_BDE;E10_49;34798;34136
H;04_BDE;E1_9;so;so
H;04_BDE;E250_499;19343;40783
H;04_BDE;E500_999;14599;42527
H;04_BDE;E50_249;40921;40183
H;05_C;E1000;520165;56757
H;05_C;E10_49;385726;34550
H;05_C;E1_9;so;so
H;05_C;E250_499;235668;46587
H;05_C;E500_999;184936;49965
H;05_C;E50_249;501664;40781
H;06_F;E1000;162814;42368
H;06_F;E10_49;391715;33918
H;06_F;E1_9;so;so
H;06_F;E250_499;69470;43084
H;06_F;E500_999;72484;40585
H;06_F;E50_249;184493;37069
H;08_G;E1000;352421;36782
H;08_G;E10_49;405767;38439
H;08_G;E1_9;so;so
H;08_G;E250_499;94446;45354
H;08_G;E500_999;119535;41545
H;08_G;E50_249;340420;41432
H;09_H;E1000;420881;42562
H;09_H;E10_49;131867;31298
H;09_H;E1_9;so;so
H;09_H;E250_499;74164;35546
H;09_H;E500_999;70609;35611
H;09_H;E50_249;207887;31066
H;10_I;E1000;64936;28906
H;10_I;E10_49;184437;29699
H;10_I;E1_9;so;so
H;10_I;E250_499;13114;33656
H;10_I;E500_999;14159;32275
H;10_I;E50_249;67482;21680
H;11_J;E1000;204882;60874
H;11_J;E10_49;115214;51282
H;11_J;E1_9;so;so
H;11_J;E250_499;36656;68781
H;11_J;E500_999;49224;62498
H;11_J;E50_249;127608;61481
H;12_K;E1000;186331;69908
H;12_K;E10_49;32871;78034
H;12_K;E1_9;so;so
H;12_K;E250_499;16524;91471
H;12_K;E500_999;31554;98090
H;12_K;E50_249;34733;102133
H;13_L;E1000;7593;44160
H;13_L;E10_49;14168;50659
H;13_L;E1_9;so;so
H;13_L;E250_499;10229;52295
H;13_L;E500_999;13275;38665
H;13_L;E50_249;31460;47017
H;14_M;E1000;186258;59912
H;14_M;E10_49;178999;50186
H;14_M;E1_9;so;so
H;14_M;E250_499;49331;83332
H;14_M;E500_999;73925;60843
H;14_M;E50_249;153491;58430
H;15_N;E1000;302411;31715
H;15_N;E10_49;231107;29866
H;15_N;E1_9;so;so
H;15_N;E250_499;80992;32556
H;15_N;E500_999;80997;32244
H;15_N;E50_249;226666;34858
H;17_O;E1000;17425;42488
H;17_O;E10_49;12102;25788
H;17_O;E1_9;so;so
H;17_O;E250_499;7790;47884
H;17_O;E500_999;6946;42827
H;17_O;E50_249;2085;52155
H;18_P;E1000;1824;45257
H;18_P;E10_49;20977;33334
H;18_P;E1_9;so;so
H;18_P;E250_499;1129;35345
H;18_P;E500_999;555;68956
H;18_P;E50_249;5868;31502
H;19_Q;E1000;129880;26956
H;19_Q;E10_49;39590;37786
H;19_Q;E1_9;so;so
H;19_Q;E250_499;51114;24564
H;19_Q;E500_999;44781;28347
H;19_Q;E50_249;113850;30603
H;20_R;E1000;9280;87188
H;20_R;E10_49;57400;32577
H;20_R;E1_9;so;so
H;20_R;E250_499;7453;57895
H;20_R;E500_999;2494;129523
H;20_R;E50_249;24390;56613
H;21_S;E1000;23140;27825
H;21_S;E10_49;55719;31808
H;21_S;E1_9;so;so
H;21_S;E250_499;5536;39312
H;21_S;E500_999;3560;42219
H;21_S;E50_249;30314;38270
F;04_BDE;E;75392;48368
F;05_C;E;641781;39693
F;06_F;E;102256;40038
F;08_G;E;1127479;31322
F;09_H;E;383631;35600
F;10_I;E;332944;23732
F;11_J;E;257737;51575
F;12_K;E;438794;52550
F;13_L;E;103348;38250
F;14_M;E;530051;47060
F;15_N;E;898825;25802
F;17_O;E;199798;34131
F;18_P;E;36809;29063
F;19_Q;E;1333563;26848
F;20_R;E;85048;31476
F;21_S;E;152552;27571
H;04_BDE;E;264653;47484
H;05_C;E;1828159;45686
H;06_F;E;880977;37414
H;08_G;E;1312588;39550
H;09_H;E;905409;37125
H;10_I;E;344128;28233
H;11_J;E;533584;59640
H;12_K;E;302013;78623
H;13_L;E;76725;46670
H;14_M;E;642003;58747
H;15_N;E;922173;32145
H;17_O;E;46347;39520
H;18_P;E;30353;34423
H;19_Q;E;379215;29039
H;20_R;E;101018;47637
H;21_S;E;118268;33350
E;04_BDE;E1000;206571;53874
E;04_BDE;E10_49;38754;34478
E;04_BDE;E250_499;23086;40330
E;04_BDE;E500_999;17187;43131
E;04_BDE;E50_249;54447;38108
E;05_C;E1000;674596;55692
E;05_C;E10_49;548678;32674
E;05_C;E250_499;331450;45705
E;05_C;E500_999;242828;48671
E;05_C;E50_249;672389;39471
E;06_F;E1000;181627;42693
E;06_F;E10_49;441775;34237
E;06_F;E250_499;76548;43459
E;06_F;E500_999;77365;40865
E;06_F;E50_249;205917;37326
E;08_G;E1000;680193;33841
E;08_G;E10_49;732142;34468
E;08_G;E250_499;210915;36537
E;08_G;E500_999;194868;40904
E;08_G;E50_249;621949;37516
E;09_H;E1000;697856;40200
E;09_H;E10_49;166273;31113
E;09_H;E250_499;92579;35527
E;09_H;E500_999;91297;35289
E;09_H;E50_249;241035;31546
E;10_I;E1000;136505;26802
E;10_I;E10_49;348888;27117
E;10_I;E250_499;19767;32884
E;10_I;E500_999;31781;29584
E;10_I;E50_249;140131;20748
E;11_J;E1000;303478;59498
E;11_J;E10_49;165899;49695
E;11_J;E250_499;59763;61335
E;11_J;E500_999;68906;58564
E;11_J;E50_249;193275;57511
E;12_K;E1000;487312;58424
E;12_K;E10_49;77951;59662
E;12_K;E250_499;40904;71496
E;12_K;E500_999;64865;77581
E;12_K;E50_249;69775;82045
E;13_L;E1000;23472;39580
E;13_L;E10_49;42144;39351
E;13_L;E250_499;22701;47059
E;13_L;E500_999;25534;36487
E;13_L;E50_249;66222;44496
E;14_M;E1000;299368;57835
E;14_M;E10_49;390007;44908
E;14_M;E250_499;91064;71343
E;14_M;E500_999;123882;56648
E;14_M;E50_249;267733;53494
E;15_N;E1000;617767;28607
E;15_N;E10_49;413189;27910
E;15_N;E250_499;167897;27879
E;15_N;E500_999;165796;30324
E;15_N;E50_249;456351;30497
E;17_O;E1000;89496;37083
E;17_O;E10_49;26552;29200
E;17_O;E250_499;58999;35157
E;17_O;E500_999;45183;35390
E;17_O;E50_249;25915;34102
E;18_P;E1000;4010;43140
E;18_P;E10_49;37853;31668
E;18_P;E250_499;3615;29285
E;18_P;E500_999;2598;42039
E;18_P;E50_249;19085;27652
E;19_Q;E1000;474101;27680
E;19_Q;E10_49;353430;24801
E;19_Q;E250_499;218073;26843
E;19_Q;E500_999;205417;27935
E;19_Q;E50_249;461757;28873
E;20_R;E1000;20528;64081
E;20_R;E10_49;102821;28549
E;20_R;E250_499;11247;49251
E;20_R;E500_999;5836;72121
E;20_R;E50_249;45634;49621
E;21_S;E1000;39143;29376
E;21_S;E10_49;129405;28169
E;21_S;E250_499;15567;34281
E;21_S;E500_999;11197;31051
E;21_S;E50_249;75509;32768
E;04_BDE;E;340045;47679
E;05_C;E;2469940;44127
E;06_F;E;983233;37688
E;08_G;E;2440067;35768
E;09_H;E;1289040;36678
E;10_I;E;677072;26020
E;11_J;E;791321;57014
E;12_K;E;740808;63179
E;13_L;E;180073;41836
E;14_M;E;1172054;53458
E;15_N;E;1820998;29012
E;17_O;E;246145;35146
E;18_P;E;67162;31485
E;19_Q;E;1712778;27331
E;20_R;E;186066;40242
E;21_S;E;270820;30096
E;01_B_S;E1_9;so;so
E;02_B_N;E1_9;so;so
E;03_B_E;E1_9;so;so
E;04_BDE;E1_9;so;so
E;05_C;E1_9;so;so
E;06_F;E1_9;so;so
E;07_G_N;E1_9;so;so
E;08_G;E1_9;so;so
E;09_H;E1_9;so;so
E;10_I;E1_9;so;so
E;11_J;E1_9;so;so
E;12_K;E1_9;so;so
E;13_L;E1_9;so;so
E;14_M;E1_9;so;so
E;15_N;E1_9;so;so
E;16_O_S;E1_9;so;so
E;17_O;E1_9;so;so
E;18_P;E1_9;so;so
E;19_Q;E1_9;so;so
E;20_R;E1_9;so;so
E;21_S;E1_9;so;so
