SEXE;REG_NAF;B25;NB_POSTES;REMU_TOT_ANNU
H;20_R;G3;37577;40267
H;20_R;G4;17471;87543
H;21_S;G1;14363;23364
H;21_S;G2;42784;26403
H;21_S;G3;39122;34319
H;21_S;G4;21999;51656
F;04_BDE;E;75392;48368
F;05_C;E;641781;39693
F;06_F;E;102256;40038
F;08_G;E;1127479;31322
F;09_H;E;383631;35600
F;10_I;E;332944;23732
F;11_J;E;257737;51575
F;12_K;E;438794;52550
F;13_L;E;103348;38250
F;14_M;E;530051;47060
F;15_N;E;898825;25802
F;17_O;E;199798;34131
F;18_P;E;36809;29063
F;19_Q;E;1333563;26848
F;20_R;E;85048;31476
F;21_S;E;152552;27571
H;04_BDE;E;264653;47484
H;05_C;E;1828159;45686
H;06_F;E;880977;37414
H;08_G;E;1312588;39550
H;09_H;E;905409;37125
H;10_I;E;344128;28233
H;11_J;E;533584;59640
H;12_K;E;302013;78623
H;13_L;E;76725;46670
H;14_M;E;642003;58747
H;15_N;E;922173;32145
H;17_O;E;46347;39520
H;18_P;E;30353;34423
H;19_Q;E;379215;29039
H;20_R;E;101018;47637
H;21_S;E;118268;33350
E;04_BDE;G1;66619;37005
E;04_BDE;G2;131684;41419
E;04_BDE;G3;86454;48652
E;04_BDE;G4;55288;73906
E;05_C;G1;432701;32162
E;05_C;G2;1093689;35859
E;05_C;G3;630311;48923
E;05_C;G4;313240;79746
E;06_F;G1;240889;31440
E;06_F;G2;511989;34894
E;06_F;G3;173847;46029
E;06_F;G4;56509;63658
E;08_G;G1;387110;28894
E;08_G;G2;1192712;29187
E;08_G;G3;661071;42125
E;08_G;G4;199173;67712
E;09_H;G1;359437;32314
E;09_H;G2;643592;35356
E;09_H;G3;224215;43107
E;09_H;G4;61795;52086
E;10_I;G1;205899;23513
E;10_I;G2;331687;25177
E;10_I;G3;128923;29693
E;10_I;G4;10564;56471
E;11_J;G1;79436;56480
E;11_J;G2;84204;44379
E;11_J;G3;276440;49457
E;11_J;G4;351241;66113
E;12_K;G1;32516;52206
E;12_K;G2;112746;51983
E;12_K;G3;380800;53824
E;12_K;G4;214746;87311
E;13_L;G1;13419;34425
E;13_L;G2;62196;34427
E;13_L;G3;79529;42049
E;13_L;G4;24930;63550
E;14_M;G1;65882;30602
E;14_M;G2;168214;36247
E;14_M;G3;411563;44201
E;14_M;G4;526395;69096
E;15_N;G1;831917;21949
E;15_N;G2;565235;27279
E;15_N;G3;293038;37976
E;15_N;G4;130808;61382
E;17_O;G1;24492;33644
E;17_O;G2;93487;33751
E;17_O;G3;99466;34853
E;17_O;G4;28701;41997
E;18_P;G1;4541;21779
E;18_P;G2;24935;27613
E;18_P;G3;25989;32638
E;18_P;G4;11697;40946
E;19_Q;G1;381957;17856
E;19_Q;G2;684758;24261
E;19_Q;G3;508403;31278
E;19_Q;G4;137660;54339
E;20_R;G1;13512;32193
E;20_R;G2;70557;31769
E;20_R;G3;71530;37426
E;20_R;G4;30467;69997
E;21_S;G1;42797;19460
E;21_S;G2;96204;24133
E;21_S;G3;86309;33961
E;21_S;G4;45511;45399
E;04_BDE;E;340045;47679
E;05_C;E;2469940;44127
E;06_F;E;983233;37688
E;08_G;E;2440067;35768
E;09_H;E;1289040;36678
E;10_I;E;677072;26020
E;11_J;E;791321;57014
E;12_K;E;740808;63179
E;13_L;E;180073;41836
E;14_M;E;1172054;53458
E;15_N;E;1820998;29012
E;17_O;E;246145;35146
E;18_P;E;67162;31485
E;19_Q;E;1712778;27331
E;20_R;E;186066;40242
E;21_S;E;270820;30096
