SEXE,REG_NAF,data_type,category,NB_POSTES,REMU_TOT_ANNU
F,15_N,age,50-59,247398,23946
F,15_N,age,60+,80630,21229
F,17_O,age,00-29,21519,27191
F,17_O,age,30-39,45634,28310
F,17_O,age,40-49,81054,34644
F,17_O,age,50-59,41117,39507
F,17_O,age,60+,10474,48630
F,18_P,age,00-29,6012,20496
F,18_P,age,30-39,10526,28848
F,18_P,age,40-49,10518,34675
F,18_P,age,50-59,7426,28090
F,18_P,age,60+,2329,29924
F,19_Q,age,00-29,207502,24554
F,19_Q,age,30-39,350070,27244
F,19_Q,age,40-49,323263,26822
F,19_Q,age,50-59,331223,26863
F,19_Q,age,60+,121506,29655
F,20_R,age,00-29,34050,19911
F,20_R,age,30-39,16771,33215
F,20_R,age,40-49,17284,45047
F,20_R,age,50-59,10821,38287
F,20_R,age,60+,6122,40706
F,21_S,age,00-29,26840,23692
F,21_S,age,30-39,25379,32589
F,21_S,age,40-49,30641,31254
F,21_S,age,50-59,50846,26692
F,21_S,age,60+,18845,22734
H,04_BDE,age,00-29,45287,31288
H,04_BDE,age,30-39,71751,48535
H,04_BDE,age,40-49,64535,50163
H,04_BDE,age,50-59,75179,51269
H,04_BDE,age,60+,7901,72870
H,05_C,age,00-29,291951,27501
H,05_C,age,30-39,390260,40763
H,05_C,age,40-49,490387,47968
H,05_C,age,50-59,542591,49551
H,05_C,age,60+,112969,81338
H,06_F,age,00-29,194064,26754
H,06_F,age,30-39,231214,36822
H,06_F,age,40-49,219103,41997
H,06_F,age,50-59,179092,43023
H,06_F,age,60+,57504,41072
H,08_G,age,00-29,381471,23020
H,08_G,age,30-39,285522,40930
H,08_G,age,40-49,289099,44607
H,08_G,age,50-59,305559,50315
H,08_G,age,60+,50937,62351
H,09_H,age,00-29,123348,25879
H,09_H,age,30-39,195919,35305
H,09_H,age,40-49,264633,39407
H,09_H,age,50-59,250142,41381
H,09_H,age,60+,71368,38676
H,10_I,age,00-29,159980,19311
H,10_I,age,30-39,53595,33676
H,10_I,age,40-49,56584,36698
H,10_I,age,50-59,56335,38369
H,10_I,age,60+,17634,33129
H,11_J,age,00-29,118512,38102
H,11_J,age,30-39,178932,54418
H,11_J,age,40-49,117277,67266
H,11_J,age,50-59,88218,77009
H,11_J,age,60+,30645,94221
H,12_K,age,00-29,53070,40080
H,12_K,age,30-39,87933,62956
H,12_K,age,40-49,74072,94162
H,12_K,age,50-59,64291,101011
H,12_K,age,60+,22647,115614
H,13_L,age,00-29,10665,30496
H,13_L,age,30-39,12939,48338
H,13_L,age,40-49,24611,48443
H,13_L,age,50-59,22450,50561
H,13_L,age,60+,6061,49905
H,14_M,age,00-29,147635,35404
H,14_M,age,30-39,202161,55851
H,14_M,age,40-49,136973,66594
H,14_M,age,50-59,117844,69782
H,14_M,age,60+,37390,103416
H,15_N,age,00-29,205966,26263
H,15_N,age,30-39,230691,32754
H,15_N,age,40-49,257288,32383
H,15_N,age,50-59,160207,37256
H,15_N,age,60+,68021,34982
H,17_O,age,00-29,2132,31213
H,17_O,age,30-39,9645,35956
H,17_O,age,40-49,11456,42128
H,17_O,age,50-59,20082,37678
H,17_O,age,60+,3033,59044
H,18_P,age,00-29,8526,25470
H,18_P,age,30-39,4253,36860
H,18_P,age,40-49,5730,35077
H,18_P,age,50-59,3578,48122
H,18_P,age,60+,8266,36021
H,19_Q,age,00-29,71883,21019
H,19_Q,age,30-39,109894,26128
H,19_Q,age,40-49,71571,32110
H,19_Q,age,50-59,77686,31495
H,19_Q,age,60+,48181,38962
H,20_R,age,00-29,31961,29995
H,20_R,age,30-39,21730,45657
H,20_R,age,40-49,16291,54802
H,20_R,age,50-59,23330,51278
H,20_R,age,60+,7706,100258
H,21_S,age,00-29,29399,20932
H,21_S,age,30-39,32578,37468
H,21_S,age,40-49,20957,39952
H,21_S,age,50-59,23239,39200
H,21_S,age,60+,12096,29761
F,04_BDE,age,E,75392,48368
F,05_C,age,E,641781,39693
F,06_F,age,E,102256,40038
F,08_G,age,E,1127479,31322
F,09_H,age,E,383631,35600
F,10_I,age,E,332944,23732
F,11_J,age,E,257737,51575
F,12_K,age,E,438794,52550
F,13_L,age,E,103348,38250
F,14_M,age,E,530051,47060
F,15_N,age,E,898825,25802
F,17_O,age,E,199798,34131
F,18_P,age,E,36809,29063
F,19_Q,age,E,1333563,26848
F,20_R,age,E,85048,31476
F,21_S,age,E,152552,27571
H,04_BDE,age,E,264653,47484
H,05_C,age,E,1828159,45686
H,06_F,age,E,880977,37414
H,08_G,age,E,1312588,39550
H,09_H,age,E,905409,37125
H,10_I,age,E,344128,28233
H,11_J,age,E,533584,59640
H,12_K,age,E,302013,78623
H,13_L,age,E,76725,46670
H,14_M,age,E,642003,58747
H,15_N,age,E,922173,32145
H,17_O,age,E,46347,39520
H,18_P,age,E,30353,34423
H,19_Q,age,E,379215,29039
H,20_R,age,E,101018,47637
H,21_S,age,E,118268,33350
E,04_BDE,age,00-29,60683,30849
E,04_BDE,age,30-39,90315,49472
E,04_BDE,age,40-49,86189,51624
E,04_BDE,age,50-59,91083,51387
E,04_BDE,age,60+,11776,63150
E,05_C,age,00-29,399459,26962
E,05_C,age,30-39,514875,40617
E,05_C,age,40-49,660646,47296
E,05_C,age,50-59,750856,47077
E,05_C,age,60+,144104,74508
E,06_F,age,00-29,211125,27232
E,06_F,age,30-39,252565,37451
E,06_F,age,40-49,257084,41262
E,06_F,age,50-59,197023,42957
E,06_F,age,60+,65436,42603
E,08_G,age,00-29,722199,22723
E,08_G,age,30-39,534435,37043
E,08_G,age,40-49,547828,41220
E,08_G,age,50-59,503476,45300
E,08_G,age,60+,132129,43469
E,09_H,age,00-29,161416,26904
E,09_H,age,30-39,281620,34637
E,09_H,age,40-49,400272,38186
E,09_H,age,50-59,344608,40701
E,09_H,age,60+,101124,38905
E,10_I,age,00-29,327094,18501
E,10_I,age,30-39,115807,31107
E,10_I,age,40-49,90051,35344
E,10_I,age,50-59,110967,33333
E,10_I,age,60+,33153,32642
E,11_J,age,00-29,179353,37957
E,11_J,age,30-39,262717,52270
E,11_J,age,40-49,167903,65159
E,11_J,age,50-59,133914,70778
E,11_J,age,60+,47433,87660
E,12_K,age,00-29,133945,37031
E,12_K,age,30-39,219057,52887
E,12_K,age,40-49,192989,73446
E,12_K,age,50-59,141243,80139
E,12_K,age,60+,53573,88947
E,13_L,age,00-29,31224,28024
E,13_L,age,30-39,37483,40977
E,13_L,age,40-49,51089,44605
E,13_L,age,50-59,44755,48848
E,13_L,age,60+,15522,42388
E,14_M,age,00-29,282040,34085
E,14_M,age,30-39,359121,52715
E,14_M,age,40-49,256348,60826
E,14_M,age,50-59,214897,62459
E,14_M,age,60+,59648,85643
E,15_N,age,00-29,369738,25740
E,15_N,age,30-39,423258,31560
E,15_N,age,40-49,471746,29627
E,15_N,age,50-59,407606,29176
E,15_N,age,60+,148651,27516
E,17_O,age,00-29,23651,27554
E,17_O,age,30-39,55279,29646
E,17_O,age,40-49,92510,35571
E,17_O,age,50-59,61199,38907
E,17_O,age,60+,13507,50968
E,18_P,age,00-29,14538,23413
E,18_P,age,30-39,14778,31154
E,18_P,age,40-49,16248,34817
E,18_P,age,50-59,11004,34604
E,18_P,age,60+,10595,34681
E,19_Q,age,00-29,279385,23648
E,19_Q,age,30-39,459963,26980
E,19_Q,age,40-49,394834,27781
E,19_Q,age,50-59,408909,27744
E,19_Q,age,60+,169687,32298
E,20_R,age,00-29,66011,24793
E,20_R,age,30-39,38501,40229
E,20_R,age,40-49,33575,49781
E,20_R,age,50-59,34151,47147
E,20_R,age,60+,13828,73891
E,21_S,age,00-29,56239,22249
E,21_S,age,30-39,57956,35331
E,21_S,age,40-49,51598,34792
E,21_S,age,50-59,74085,30616
E,21_S,age,60+,30941,25481
E,04_BDE,age,E,340045,47679
E,05_C,age,E,2469940,44127
E,06_F,age,E,983233,37688
E,08_G,age,E,2440067,35768
E,09_H,age,E,1289040,36678
E,10_I,age,E,677072,26020
E,11_J,age,E,791321,57014
E,12_K,age,E,740808,63179
E,13_L,age,E,180073,41836
E,14_M,age,E,1172054,53458
E,15_N,age,E,1820998,29012
E,17_O,age,E,246145,35146
E,18_P,age,E,67162,31485
E,19_Q,age,E,1712778,27331
