SEXE,REG_NAF,data_type,category,NB_POSTES,REMU_TOT_ANNU
H,10_I,anciennete,E,344128,28233
H,11_J,anciennete,E,533584,59640
H,12_K,anciennete,E,302013,78623
H,13_L,anciennete,E,76725,46670
H,14_M,anciennete,E,642003,58747
H,15_N,anciennete,E,922173,32145
H,17_O,anciennete,E,46347,39520
H,18_P,anciennete,E,30353,34423
H,19_Q,anciennete,E,379215,29039
H,20_R,anciennete,E,101018,47637
H,21_S,anciennete,E,118268,33350
E,04_BDE,anciennete,00-05,160382,38866
E,04_BDE,anciennete,06-09,33836,54858
E,04_BDE,anciennete,10-14,53854,55170
E,04_BDE,anciennete,15-19,42026,60239
E,04_BDE,anciennete,20-29,30244,51051
E,04_BDE,anciennete,30+,19704,54553
E,05_C,anciennete,00-05,1000335,35433
E,05_C,anciennete,06-09,292997,45565
E,05_C,anciennete,10-14,274184,54347
E,05_C,anciennete,15-19,247188,50667
E,05_C,anciennete,20-29,404651,49001
E,05_C,anciennete,30+,250585,51697
E,06_F,anciennete,00-05,522684,32853
E,06_F,anciennete,06-09,114041,41419
E,06_F,anciennete,10-14,145222,40131
E,06_F,anciennete,15-19,80551,44937
E,06_F,anciennete,20-29,68753,49176
E,06_F,anciennete,30+,51983,44731
E,08_G,anciennete,00-05,1412062,30447
E,08_G,anciennete,06-09,263341,41182
E,08_G,anciennete,10-14,218724,44985
E,08_G,anciennete,15-19,187370,42607
E,08_G,anciennete,20-29,269175,41169
E,08_G,anciennete,30+,89394,50036
E,09_H,anciennete,00-05,472058,30590
E,09_H,anciennete,06-09,145450,34385
E,09_H,anciennete,10-14,170859,37436
E,09_H,anciennete,15-19,151487,41987
E,09_H,anciennete,20-29,234418,42661
E,09_H,anciennete,30+,114768,45660
E,10_I,anciennete,00-05,519987,23027
E,10_I,anciennete,06-09,53018,33433
E,10_I,anciennete,10-14,36727,36573
E,10_I,anciennete,15-19,27740,33778
E,10_I,anciennete,20-29,27777,38433
E,10_I,anciennete,30+,11823,44188
E,11_J,anciennete,00-05,462235,50204
E,11_J,anciennete,06-09,87028,58078
E,11_J,anciennete,10-14,72684,65343
E,11_J,anciennete,15-19,46870,67049
E,11_J,anciennete,20-29,82775,72101
E,11_J,anciennete,30+,39729,75405
E,12_K,anciennete,00-05,332210,54046
E,12_K,anciennete,06-09,89138,67089
E,12_K,anciennete,10-14,103473,68214
E,12_K,anciennete,15-19,75034,75228
E,12_K,anciennete,20-29,83039,69790
E,12_K,anciennete,30+,57914,75467
E,13_L,anciennete,00-05,90856,36850
E,13_L,anciennete,06-09,23814,43979
E,13_L,anciennete,10-14,16778,46699
E,13_L,anciennete,15-19,19236,49215
E,13_L,anciennete,20-29,20186,45862
E,13_L,anciennete,30+,9204,52368
E,14_M,anciennete,00-05,712400,45806
E,14_M,anciennete,06-09,145572,57785
E,14_M,anciennete,10-14,116214,59966
E,14_M,anciennete,15-19,76028,66090
E,14_M,anciennete,20-29,82426,71050
E,14_M,anciennete,30+,39414,96697
E,15_N,anciennete,00-05,1301282,26894
E,15_N,anciennete,06-09,182750,31258
E,15_N,anciennete,10-14,143177,33284
E,15_N,anciennete,15-19,93150,33431
E,15_N,anciennete,20-29,69035,42810
E,15_N,anciennete,30+,31604,40663
E,17_O,anciennete,00-05,77205,30024
E,17_O,anciennete,06-09,29485,30446
E,17_O,anciennete,10-14,31565,33929
E,17_O,anciennete,15-19,40734,35292
E,17_O,anciennete,20-29,47276,41376
E,17_O,anciennete,30+,19880,48809
E,18_P,anciennete,00-05,38431,28387
E,18_P,anciennete,06-09,7127,29367
E,18_P,anciennete,10-14,7317,40183
E,18_P,anciennete,15-19,7697,27271
E,18_P,anciennete,20-29,3065,45886
E,18_P,anciennete,30+,3525,48158
E,19_Q,anciennete,00-05,961287,25854
E,19_Q,anciennete,06-09,230265,27233
E,19_Q,anciennete,10-14,217181,26809
E,19_Q,anciennete,15-19,143818,29208
E,19_Q,anciennete,20-29,109350,33294
E,19_Q,anciennete,30+,50877,39769
E,20_R,anciennete,00-05,113845,34159
E,20_R,anciennete,06-09,17916,41926
E,20_R,anciennete,10-14,18941,40878
E,20_R,anciennete,15-19,16656,41868
E,20_R,anciennete,20-29,13072,81401
E,20_R,anciennete,30+,5637,56244
E,21_S,anciennete,00-05,161004,26066
E,21_S,anciennete,06-09,29749,27657
E,21_S,anciennete,10-14,29722,42021
E,21_S,anciennete,15-19,23298,39435
E,21_S,anciennete,20-29,19702,32755
E,21_S,anciennete,30+,7345,43401
E,04_BDE,anciennete,E,340045,47679
E,05_C,anciennete,E,2469940,44127
E,06_F,anciennete,E,983233,37688
E,08_G,anciennete,E,2440067,35768
E,09_H,anciennete,E,1289040,36678
E,10_I,anciennete,E,677072,26020
E,11_J,anciennete,E,791321,57014
E,12_K,anciennete,E,740808,63179
E,13_L,anciennete,E,180073,41836
E,14_M,anciennete,E,1172054,53458
E,15_N,anciennete,E,1820998,29012
E,17_O,anciennete,E,246145,35146
E,18_P,anciennete,E,67162,31485
E,19_Q,anciennete,E,1712778,27331
E,20_R,anciennete,E,186066,40242
E,21_S,anciennete,E,270820,30096
F,01_B_S,diplome,G1,1286848,23555
F,01_B_S,diplome,G2,2393481,27596
F,01_B_S,diplome,G3,2101954,37633
F,01_B_S,diplome,G4,917725,58413
H,01_B_S,diplome,G1,1896276,30157
H,01_B_S,diplome,G2,3474407,34718
H,01_B_S,diplome,G3,2035933,48086
H,01_B_S,diplome,G4,1280998,76259
F,01_B_S,diplome,E,6700009,34195
H,01_B_S,diplome,E,8687613,42996
E,01_B_S,diplome,G1,3183124,27485
E,01_B_S,diplome,G2,5867887,31813
E,01_B_S,diplome,G3,4137887,42788
E,01_B_S,diplome,G4,2198723,68807
E,01_B_S,diplome,E,15387622,39166
F,02_B_N,diplome,G1,988950,24739
F,02_B_N,diplome,G2,1672774,28884
F,02_B_N,diplome,G3,1472480,40407
F,02_B_N,diplome,G4,758034,61030
H,02_B_N,diplome,G1,1726874,31289
H,02_B_N,diplome,G2,3225173,35144
H,02_B_N,diplome,G3,1873712,48940
H,02_B_N,diplome,G4,1186654,77251
F,02_B_N,diplome,E,4892238,36505
H,02_B_N,diplome,E,8012413,43792
E,02_B_N,diplome,G1,2715824,28901
E,02_B_N,diplome,G2,4897947,33009
E,02_B_N,diplome,G3,3346191,45201
E,02_B_N,diplome,G4,1944688,70925
E,02_B_N,diplome,E,12904651,41034
F,03_B_E,diplome,G1,113944,31744
F,03_B_E,diplome,G2,285587,31275
F,03_B_E,diplome,G3,198613,43749
F,03_B_E,diplome,G4,119030,66165
F,07_G_N,diplome,G1,868665,23730
F,07_G_N,diplome,G2,1342963,28241
F,07_G_N,diplome,G3,1234959,39760
F,07_G_N,diplome,G4,626223,60171
F,16_O_S,diplome,G1,297898,19637
F,16_O_S,diplome,G2,720706,24626
F,16_O_S,diplome,G3,629475,31196
F,16_O_S,diplome,G4,159691,45989
H,03_B_E,diplome,G1,385376,33130
H,03_B_E,diplome,G2,939786,38031
H,03_B_E,diplome,G3,518152,50862
H,03_B_E,diplome,G4,249498,84933
H,07_G_N,diplome,G1,1106951,30654
H,07_G_N,diplome,G2,1817623,33658
H,07_G_N,diplome,G3,1220621,48371
H,07_G_N,diplome,G4,893429,75650
H,16_O_S,diplome,G1,169402,18659
H,16_O_S,diplome,G2,249234,29196
H,16_O_S,diplome,G3,162221,38178
H,16_O_S,diplome,G4,94344,63797
F,03_B_E,diplome,E,717173,40604
F,07_G_N,diplome,E,4072809,35690
F,16_O_S,diplome,E,1807771,27977
H,03_B_E,diplome,E,2092812,45914
H,07_G_N,diplome,E,5038624,44024
H,16_O_S,diplome,E,675200,33546
E,03_B_E,diplome,G1,499320,32813
E,03_B_E,diplome,G2,1225373,36457
E,03_B_E,diplome,G3,716765,48890
E,03_B_E,diplome,G4,368528,78868
E,07_G_N,diplome,G1,1975616,27610
E,07_G_N,diplome,G2,3160586,31359
E,07_G_N,diplome,G3,2455580,44060
E,07_G_N,diplome,G4,1519652,69267
E,16_O_S,diplome,G1,467300,19282
E,16_O_S,diplome,G2,969940,25796
E,16_O_S,diplome,G3,791696,32622
E,16_O_S,diplome,G4,254035,52606
E,03_B_E,diplome,E,2809986,44558
E,07_G_N,diplome,E,9111433,40305
E,16_O_S,diplome,E,2482971,29489
F,04_BDE,diplome,G1,11345,41969
F,04_BDE,diplome,G2,18674,38417
F,04_BDE,diplome,G3,24894,43564
F,04_BDE,diplome,G4,20480,66715
F,05_C,diplome,G1,102599,30607
F,05_C,diplome,G2,266913,30781
F,05_C,diplome,G3,173720,43775
F,05_C,diplome,G4,98550,66050
F,06_F,diplome,G1,6342,37297
F,06_F,diplome,G2,44225,32827
F,06_F,diplome,G3,38908,43675
F,06_F,diplome,G4,12782,55283
F,08_G,diplome,G1,163462,26789
F,08_G,diplome,G2,568778,25817
F,08_G,diplome,G3,315738,36368
F,08_G,diplome,G4,79501,60635
F,09_H,diplome,G1,70897,33408
F,09_H,diplome,G2,175122,32505
F,09_H,diplome,G3,111619,38443
F,09_H,diplome,G4,25993,48967
F,10_I,diplome,G1,104526,22179
F,10_I,diplome,G2,159201,22088
F,10_I,diplome,G3,62309,28073
F,10_I,diplome,G4,6908,45966
F,11_J,diplome,G1,29532,52121
F,11_J,diplome,G2,36013,42015
F,11_J,diplome,G3,83830,44740
F,11_J,diplome,G4,108362,59897
F,12_K,diplome,G1,24455,44648
F,12_K,diplome,G2,70221,46904
F,12_K,diplome,G3,236295,47737
F,12_K,diplome,G4,107824,68574
F,13_L,diplome,G1,6215,31631
F,13_L,diplome,G2,29270,33905
F,13_L,diplome,G3,52640,37933
F,13_L,diplome,G4,15223,50365
F,14_M,diplome,G1,25348,28873
F,14_M,diplome,G2,71675,33806
F,14_M,diplome,G3,216797,40965
F,14_M,diplome,G4,216231,59703
F,15_N,diplome,G1,444231,18022
F,15_N,diplome,G2,232682,25145
F,15_N,diplome,G3,155730,36176
F,15_N,diplome,G4,66182,56034
F,17_O,diplome,G1,20773,32476
F,17_O,diplome,G2,73689,33522
F,17_O,diplome,G3,86956,33581
F,17_O,diplome,G4,18379,41060
F,18_P,diplome,G1,2398,17175
F,18_P,diplome,G2,11001,23022
F,18_P,diplome,G3,16672,31025
F,18_P,diplome,G4,6738,38290
F,19_Q,diplome,G1,239060,18742
F,19_Q,diplome,G2,551730,23706
F,19_Q,diplome,G3,444708,30239
F,19_Q,diplome,G4,98065,48931
F,20_R,diplome,G1,7233,21581
F,20_R,diplome,G2,30866,24414
F,20_R,diplome,G3,33953,34282
F,20_R,diplome,G4,12996,46418
F,21_S,diplome,G1,28434,17488
F,21_S,diplome,G2,53420,22315
F,21_S,diplome,G3,47186,33663
F,21_S,diplome,G4,23512,39523
H,04_BDE,diplome,G1,55274,35986
H,04_BDE,diplome,G2,113010,41909
H,04_BDE,diplome,G3,61561,50709
H,04_BDE,diplome,G4,34808,78137
H,05_C,diplome,G1,330102,32647
H,05_C,diplome,G2,826776,37500
H,05_C,diplome,G3,456591,50883
H,05_C,diplome,G4,214689,86036
H,06_F,diplome,G1,234547,31280
H,06_F,diplome,G2,467764,35090
H,06_F,diplome,G3,134939,46707
H,06_F,diplome,G4,43727,66107
H,08_G,diplome,G1,223649,30434
H,08_G,diplome,G2,623934,32261
H,08_G,diplome,G3,345333,47200
H,08_G,diplome,G4,119672,72418
H,09_H,diplome,G1,288541,32050
H,09_H,diplome,G2,468469,36379
H,09_H,diplome,G3,112597,47739
H,09_H,diplome,G4,35802,54364
H,10_I,diplome,G1,101373,24889
H,10_I,diplome,G2,172486,28031
H,10_I,diplome,G3,66613,31209
H,10_I,diplome,G4,3656,76321
H,11_J,diplome,G1,49904,59060
H,11_J,diplome,G2,48191,46147
H,11_J,diplome,G3,192610,51509
H,11_J,diplome,G4,242879,68885
H,12_K,diplome,G1,8061,75216
H,12_K,diplome,G2,42525,60374
H,12_K,diplome,G3,144506,63778
H,12_K,diplome,G4,106922,106200
H,13_L,diplome,G1,7204,36859
H,13_L,diplome,G2,32926,34891
H,13_L,diplome,G3,26889,50098
H,13_L,diplome,G4,9707,84225
H,14_M,diplome,G1,40534,31683
H,14_M,diplome,G2,96539,38060
H,14_M,diplome,G3,194765,47801
H,14_M,diplome,G4,310164,75667
H,15_N,diplome,G1,387685,26451
H,15_N,diplome,G2,332553,28778
H,15_N,diplome,G3,137308,40019
H,15_N,diplome,G4,64627,66845
H,17_O,diplome,G1,3719,40167
H,17_O,diplome,G2,19798,34601
H,17_O,diplome,G3,12509,43695
H,17_O,diplome,G4,10322,43662
H,18_P,diplome,G1,2144,26928
H,18_P,diplome,G2,13934,31235
H,18_P,diplome,G3,9317,35525
H,18_P,diplome,G4,4958,44555
H,19_Q,diplome,G1,142897,16374
H,19_Q,diplome,G2,133027,26583
H,19_Q,diplome,G3,63695,38626
H,19_Q,diplome,G4,39595,67733
H,20_R,diplome,G1,6279,44478
H,20_R,diplome,G2,39690,37511
H,20_R,diplome,G3,37577,40267
H,20_R,diplome,G4,17471,87543
H,21_S,diplome,G1,14363,23364
H,21_S,diplome,G2,42784,26403
H,21_S,diplome,G3,39122,34319
H,21_S,diplome,G4,21999,51656
F,04_BDE,diplome,E,75392,48368
F,05_C,diplome,E,641781,39693
F,06_F,diplome,E,102256,40038
F,08_G,diplome,E,1127479,31322
F,09_H,diplome,E,383631,35600
F,10_I,diplome,E,332944,23732
F,11_J,diplome,E,257737,51575
F,12_K,diplome,E,438794,52550
F,13_L,diplome,E,103348,38250
F,14_M,diplome,E,530051,47060
F,15_N,diplome,E,898825,25802
F,17_O,diplome,E,199798,34131
F,18_P,diplome,E,36809,29063
F,19_Q,diplome,E,1333563,26848
F,20_R,diplome,E,85048,31476
F,21_S,diplome,E,152552,27571
H,04_BDE,diplome,E,264653,47484
H,05_C,diplome,E,1828159,45686
H,06_F,diplome,E,880977,37414
H,08_G,diplome,E,1312588,39550
H,09_H,diplome,E,905409,37125
H,10_I,diplome,E,344128,28233
H,11_J,diplome,E,533584,59640
H,12_K,diplome,E,302013,78623
H,13_L,diplome,E,76725,46670
H,14_M,diplome,E,642003,58747
H,15_N,diplome,E,922173,32145
H,17_O,diplome,E,46347,39520
H,18_P,diplome,E,30353,34423
H,19_Q,diplome,E,379215,29039
H,20_R,diplome,E,101018,47637
H,21_S,diplome,E,118268,33350
E,04_BDE,diplome,G1,66619,37005
E,04_BDE,diplome,G2,131684,41419
E,04_BDE,diplome,G3,86454,48652
E,04_BDE,diplome,G4,55288,73906
E,05_C,diplome,G1,432701,32162
E,05_C,diplome,G2,1093689,35859
E,05_C,diplome,G3,630311,48923
E,05_C,diplome,G4,313240,79746
E,06_F,diplome,G1,240889,31440
E,06_F,diplome,G2,511989,34894
E,06_F,diplome,G3,173847,46029
E,06_F,diplome,G4,56509,63658
E,08_G,diplome,G1,387110,28894
E,08_G,diplome,G2,1192712,29187
E,08_G,diplome,G3,661071,42125
E,08_G,diplome,G4,199173,67712
E,09_H,diplome,G1,359437,32314
E,09_H,diplome,G2,643592,35356
E,09_H,diplome,G3,224215,43107
E,09_H,diplome,G4,61795,52086
E,10_I,diplome,G1,205899,23513
E,10_I,diplome,G2,331687,25177
E,10_I,diplome,G3,128923,29693
E,10_I,diplome,G4,10564,56471
E,11_J,diplome,G1,79436,56480
E,11_J,diplome,G2,84204,44379
E,11_J,diplome,G3,276440,49457
E,11_J,diplome,G4,351241,66113
E,12_K,diplome,G1,32516,52206
E,12_K,diplome,G2,112746,51983
E,12_K,diplome,G3,380800,53824
E,12_K,diplome,G4,214746,87311
E,13_L,diplome,G1,13419,34425
E,13_L,diplome,G2,62196,34427
E,13_L,diplome,G3,79529,42049
E,13_L,diplome,G4,24930,63550
E,14_M,diplome,G1,65882,30602
E,14_M,diplome,G2,168214,36247
E,14_M,diplome,G3,411563,44201
E,14_M,diplome,G4,526395,69096
E,15_N,diplome,G1,831917,21949
E,15_N,diplome,G2,565235,27279
E,15_N,diplome,G3,293038,37976
E,15_N,diplome,G4,130808,61382
E,17_O,diplome,G1,24492,33644
E,17_O,diplome,G2,93487,33751
E,17_O,diplome,G3,99466,34853
E,17_O,diplome,G4,28701,41997
E,18_P,diplome,G1,4541,21779
E,18_P,diplome,G2,24935,27613
E,18_P,diplome,G3,25989,32638
E,18_P,diplome,G4,11697,40946
E,19_Q,diplome,G1,381957,17856
E,19_Q,diplome,G2,684758,24261
E,19_Q,diplome,G3,508403,31278
E,19_Q,diplome,G4,137660,54339
E,20_R,diplome,G1,13512,32193
E,20_R,diplome,G2,70557,31769
E,20_R,diplome,G3,71530,37426
E,20_R,diplome,G4,30467,69997
E,21_S,diplome,G1,42797,19460
E,21_S,diplome,G2,96204,24133
E,21_S,diplome,G3,86309,33961
E,21_S,diplome,G4,45511,45399
E,04_BDE,diplome,E,340045,47679
E,05_C,diplome,E,2469940,44127
E,06_F,diplome,E,983233,37688
E,08_G,diplome,E,2440067,35768
E,09_H,diplome,E,1289040,36678
E,10_I,diplome,E,677072,26020
E,11_J,diplome,E,791321,57014
E,12_K,diplome,E,740808,63179
E,13_L,diplome,E,180073,41836
E,14_M,diplome,E,1172054,53458
E,15_N,diplome,E,1820998,29012
E,17_O,diplome,E,246145,35146
E,18_P,diplome,E,67162,31485
E,19_Q,diplome,E,1712778,27331
E,20_R,diplome,E,186066,40242
E,21_S,diplome,E,270820,30096
F,01_B_S,region,FR1,1724962,44383
F,01_B_S,region,FRB,232834,30566
F,01_B_S,region,FRC,214920,29533
F,01_B_S,region,FRD,285952,30570
F,01_B_S,region,FRE,530652,29748
F,01_B_S,region,FRF,517106,29156
F,01_B_S,region,FRG,406493,29632
F,01_B_S,region,FRH,301304,31272
F,01_B_S,region,FRI,542004,29783
F,01_B_S,region,FRJ,508477,30940
F,01_B_S,region,FRK,807119,32817
F,01_B_S,region,FRL,500845,31544
F,01_B_S,region,FRY,127339,30279
H,01_B_S,region,FR1,2284630,55518
H,01_B_S,region,FRB,275514,37292
H,01_B_S,region,FRC,335958,36795
H,01_B_S,region,FRD,377779,38144
H,01_B_S,region,FRE,740324,36818
H,01_B_S,region,FRF,617104,39318
H,01_B_S,region,FRG,549484,37856
H,01_B_S,region,FRH,416273,36378
H,01_B_S,region,FRI,603443,37993
H,01_B_S,region,FRJ,679519,38140
H,01_B_S,region,FRK,1067648,41090
H,01_B_S,region,FRL,593277,40495
H,01_B_S,region,FRY,146659,37079
F,01_B_S,region,E,6700009,34195
H,01_B_S,region,E,8687613,42996
E,01_B_S,region,FR1,4009592,50729
E,01_B_S,region,FRB,508348,34213
E,01_B_S,region,FRC,550878,33957
E,01_B_S,region,FRD,663731,34863
E,01_B_S,region,FRE,1270976,33866
E,01_B_S,region,FRF,1134210,34682
E,01_B_S,region,FRG,955978,34358
E,01_B_S,region,FRH,717578,34234
E,01_B_S,region,FRI,1145447,34114
E,01_B_S,region,FRJ,1187996,35058
E,01_B_S,region,FRK,1874767,37548
E,01_B_S,region,FRL,1094123,36395
E,01_B_S,region,FRY,273998,33911
E,01_B_S,region,E,15387622,39166
F,02_B_N,region,FR1,1369416,47512
F,02_B_N,region,FRB,159987,32550
F,02_B_N,region,FRC,156929,31136
F,02_B_N,region,FRD,190088,32243
F,02_B_N,region,FRE,397213,31049
F,02_B_N,region,FRF,335898,30793
F,02_B_N,region,FRG,269804,32348
F,02_B_N,region,FRH,242559,31959
F,02_B_N,region,FRI,364446,31296
F,02_B_N,region,FRJ,352486,31929
F,02_B_N,region,FRK,627924,34153
F,02_B_N,region,FRL,343844,33505
F,02_B_N,region,FRY,81644,30676
H,02_B_N,region,FR1,2155432,56119
H,02_B_N,region,FRB,249256,38248
H,02_B_N,region,FRC,309676,36842
H,02_B_N,region,FRD,345380,38867
H,02_B_N,region,FRE,679303,37567
H,02_B_N,region,FRF,573514,39910
H,02_B_N,region,FRG,524394,38020
H,02_B_N,region,FRH,388233,36828
H,02_B_N,region,FRI,528139,39268
H,02_B_N,region,FRJ,616861,39030
H,02_B_N,region,FRK,997242,41484
H,02_B_N,region,FRL,515236,42491
H,02_B_N,region,FRY,129748,37072
F,02_B_N,region,E,4892238,36505
H,02_B_N,region,E,8012413,43792
E,02_B_N,region,FR1,3524848,52778
E,02_B_N,region,FRB,409243,36023
E,02_B_N,region,FRC,466604,34920
E,02_B_N,region,FRD,535469,36502
E,02_B_N,region,FRE,1076516,35162
E,02_B_N,region,FRF,909413,36541
E,02_B_N,region,FRG,794198,36093
E,02_B_N,region,FRH,630792,34956
E,02_B_N,region,FRI,892584,36029
E,02_B_N,region,FRJ,969347,36449
E,02_B_N,region,FRK,1625165,38675
E,02_B_N,region,FRL,859080,38893
E,02_B_N,region,FRY,211392,34599
E,02_B_N,region,E,12904651,41034
F,03_B_E,region,FR1,118840,57667
F,03_B_E,region,FRB,49539,35382
F,03_B_E,region,FRC,33475,33988
F,03_B_E,region,FRD,36321,38890
F,03_B_E,region,FRE,49112,39431
F,03_B_E,region,FRF,69440,37825
F,03_B_E,region,FRG,54464,33595
F,03_B_E,region,FRH,49277,35106
F,03_B_E,region,FRI,40232,38463
F,03_B_E,region,FRJ,42791,39801
F,03_B_E,region,FRK,126871,37040
F,03_B_E,region,FRL,39121,41048
F,03_B_E,region,FRY,7689,36845
F,07_G_N,region,FR1,1222554,46534
F,07_G_N,region,FRB,108321,31324
F,07_G_N,region,FRC,121144,30213
F,07_G_N,region,FRD,152318,30601
F,07_G_N,region,FRE,339841,29687
F,07_G_N,region,FRF,259946,28819
F,07_G_N,region,FRG,209796,31952
F,07_G_N,region,FRH,189339,30788
F,07_G_N,region,FRI,318297,30061
F,07_G_N,region,FRJ,299556,30759
F,07_G_N,region,FRK,482854,33455
F,07_G_N,region,FRL,295365,32112
F,07_G_N,region,FRY,73478,29965
F,16_O_S,region,FR1,355546,32361
F,16_O_S,region,FRB,72847,26221
F,16_O_S,region,FRC,57992,25203
F,16_O_S,region,FRD,95864,27255
F,16_O_S,region,FRE,133439,25867
F,16_O_S,region,FRF,181208,26129
F,16_O_S,region,FRG,136690,24277
F,16_O_S,region,FRH,58745,28441
F,16_O_S,region,FRI,177558,26730
F,16_O_S,region,FRJ,155991,28709
F,16_O_S,region,FRK,179195,28224
F,16_O_S,region,FRL,157001,27251
F,16_O_S,region,FRY,45695,29577
H,03_B_E,region,FR1,259861,62968
H,03_B_E,region,FRB,92079,41133
H,03_B_E,region,FRC,135810,40994
H,03_B_E,region,FRD,148813,40796
H,03_B_E,region,FRE,190320,43886
H,03_B_E,region,FRF,239904,44055
H,03_B_E,region,FRG,175318,38326
H,03_B_E,region,FRH,126290,35433
H,03_B_E,region,FRI,155611,42653
H,03_B_E,region,FRJ,132219,46395
H,03_B_E,region,FRK,306580,50289
H,03_B_E,region,FRL,108172,46637
H,03_B_E,region,FRY,21835,42986
H,07_G_N,region,FR1,1708627,56365
H,07_G_N,region,FRB,121602,37419
H,07_G_N,region,FRC,144594,32990
H,07_G_N,region,FRD,154352,38047
H,07_G_N,region,FRE,424351,34949
H,07_G_N,region,FRF,278093,36999
H,07_G_N,region,FRG,286649,38213
H,07_G_N,region,FRH,202514,37132
H,07_G_N,region,FRI,318775,37864
H,07_G_N,region,FRJ,411243,37302
H,07_G_N,region,FRK,570694,38261
H,07_G_N,region,FRL,316368,43769
H,07_G_N,region,FRY,100763,35625
H,16_O_S,region,FR1,129198,45422
H,16_O_S,region,FRB,26259,28222
H,16_O_S,region,FRC,26282,36239
H,16_O_S,region,FRD,32399,30446
H,16_O_S,region,FRE,61021,28481
H,16_O_S,region,FRF,43589,31553
H,16_O_S,region,FRG,25090,34435
H,16_O_S,region,FRH,28040,30153
H,16_O_S,region,FRI,75304,29078
H,16_O_S,region,FRJ,62659,29379
H,16_O_S,region,FRK,70407,35529
H,16_O_S,region,FRL,78041,27309
H,16_O_S,region,FRY,16911,37126
F,03_B_E,region,E,717173,40604
F,07_G_N,region,E,4072809,35690
F,16_O_S,region,E,1807771,27977
H,03_B_E,region,E,2092812,45914
H,07_G_N,region,E,5038624,44024
H,16_O_S,region,E,675200,33546
E,03_B_E,region,FR1,378701,61304
E,03_B_E,region,FRB,141618,39121
E,03_B_E,region,FRC,169285,39609
E,03_B_E,region,FRD,185135,40417
E,03_B_E,region,FRE,239432,42972
E,03_B_E,region,FRF,309343,42656
E,03_B_E,region,FRG,229782,37204
E,03_B_E,region,FRH,175567,35341
E,03_B_E,region,FRI,195843,41796
E,03_B_E,region,FRJ,175011,44782
E,03_B_E,region,FRK,433451,46422
E,03_B_E,region,FRL,147293,45147
E,03_B_E,region,FRY,29524,41386
E,07_G_N,region,FR1,2931181,52270
E,07_G_N,region,FRB,229923,34551
E,07_G_N,region,FRC,265738,31720
E,07_G_N,region,FRD,306669,34344
E,07_G_N,region,FRE,764193,32608
E,07_G_N,region,FRF,538039,33043
E,07_G_N,region,FRG,496445,35566
E,07_G_N,region,FRH,391853,34066
E,07_G_N,region,FRI,637072,33977
E,07_G_N,region,FRJ,710800,34546
E,07_G_N,region,FRK,1053548,36080
E,07_G_N,region,FRL,611733,38141
E,07_G_N,region,FRY,174240,33233
E,16_O_S,region,FR1,484744,35820
E,16_O_S,region,FRB,99106,26751
E,16_O_S,region,FRC,84274,28645
E,16_O_S,region,FRD,128263,28056
E,16_O_S,region,FRE,194460,26688
E,16_O_S,region,FRF,224798,27181
E,16_O_S,region,FRG,161780,25852
E,16_O_S,region,FRH,86785,28994
E,16_O_S,region,FRI,252862,27426
E,16_O_S,region,FRJ,218649,28901
E,16_O_S,region,FRK,249602,30285
E,16_O_S,region,FRL,235042,27271
E,16_O_S,region,FRY,62606,31616
E,03_B_E,region,E,2809986,44558
E,07_G_N,region,E,9111433,40305
E,16_O_S,region,E,2482971,29489
F,04_BDE,region,FR1,23432,58747
F,04_BDE,region,FRB,3436,47182
F,04_BDE,region,FRC,1270,38448
F,04_BDE,region,FRD,1367,57683
F,04_BDE,region,FRE,8505,32820
F,04_BDE,region,FRF,5762,49906
F,04_BDE,region,FRG,412,46054
F,04_BDE,region,FRH,1839,57478
F,04_BDE,region,FRI,2498,38053
F,04_BDE,region,FRJ,13359,38640
F,04_BDE,region,FRK,8962,52279
F,04_BDE,region,FRL,3373,45754
F,04_BDE,region,FRY,1177,44513
F,05_C,region,FR1,95408,57402
F,05_C,region,FRB,46103,34502
F,05_C,region,FRC,32206,33812
F,05_C,region,FRD,34954,38155
F,05_C,region,FRE,40606,40816
F,05_C,region,FRF,63678,36732
F,05_C,region,FRG,54052,33500
F,05_C,region,FRH,47438,34239
F,05_C,region,FRI,37733,38488
F,05_C,region,FRJ,29432,40329
F,05_C,region,FRK,117909,35874
F,05_C,region,FRL,35749,40604
F,05_C,region,FRY,6512,35449
F,06_F,region,FR1,28022,46955
F,06_F,region,FRB,2127,28774
F,06_F,region,FRC,2310,38172
F,06_F,region,FRD,1449,38052
F,06_F,region,FRE,8260,37254
F,06_F,region,FRF,6512,34374
F,06_F,region,FRG,5544,35043
F,06_F,region,FRH,3943,48679
F,06_F,region,FRI,5917,47989
F,06_F,region,FRJ,10138,33174
F,06_F,region,FRK,18198,32258
F,06_F,region,FRL,9358,45904
F,06_F,region,FRY,477,40186
F,08_G,region,FR1,247369,40403
F,08_G,region,FRB,42529,29522
F,08_G,region,FRC,21789,26761
F,08_G,region,FRD,63504,30137
F,08_G,region,FRE,107104,28768
F,08_G,region,FRF,65042,28755
F,08_G,region,FRG,59378,30892
F,08_G,region,FRH,59218,26632
F,08_G,region,FRI,130434,26587
F,08_G,region,FRJ,82037,28468
F,08_G,region,FRK,141178,31357
F,08_G,region,FRL,82268,28970
F,08_G,region,FRY,25626,23046
F,09_H,region,FR1,128412,41267
F,09_H,region,FRB,11747,31913
F,09_H,region,FRC,22694,28417
