SEXE;REG_NAF;CITP;NB_POSTES;REMU_TOT_ANNU
H;05_C;5;7777;33803
H;05_C;6;358114;30977
H;05_C;8;481455;33144
H;05_C;9;119923;28318
H;06_F;1;62705;72390
H;06_F;2;44618;60125
H;06_F;3;203429;40970
H;06_F;4;15845;31685
H;06_F;5;1852;31400
H;06_F;6;360967;32377
H;06_F;8;63417;35010
H;06_F;9;128144;22781
H;08_G;1;177652;86413
H;08_G;2;63530;71723
H;08_G;3;178293;40681
H;08_G;4;334914;25657
H;08_G;5;224182;29401
H;08_G;6;172048;28673
H;08_G;8;104550;28366
H;08_G;9;57418;28702
H;09_H;1;57919;60955
H;09_H;2;44231;53128
H;09_H;3;124770;48463
H;09_H;4;97841;29089
H;09_H;5;21840;42994
H;09_H;6;64867;30096
H;09_H;8;462835;32686
H;09_H;9;31107;28515
H;10_I;1;22698;57715
H;10_I;2;3013;43390
H;10_I;3;14595;37786
H;10_I;4;25829;39796
H;10_I;5;114379;28236
H;10_I;6;12293;31233
H;10_I;8;13648;22822
H;10_I;9;137672;20152
H;11_J;1;85731;85675
H;11_J;2;299587;63851
H;11_J;3;105160;37940
H;11_J;4;34676;29445
H;11_J;5;4842;37251
H;11_J;6;2421;41723
H;11_J;8;722;51240
H;11_J;9;445;43580
H;12_K;1;138784;102304
H;12_K;2;40574;106473
H;12_K;3;87276;45995
H;12_K;4;34308;34287
H;12_K;5;743;30883
H;12_K;6;73;40355
H;12_K;8;76;45290
H;12_K;9;178;35068
H;13_L;1;20198;76243
H;13_L;2;2865;70197
H;13_L;3;19097;40034
H;13_L;4;6970;29016
H;13_L;5;14778;32301
H;13_L;6;9142;30944
H;13_L;8;108;47240
H;13_L;9;3566;29423
H;14_M;1;158474;93463
H;14_M;2;231774;62926
H;14_M;3;142256;38146
H;14_M;4;55533;26110
H;14_M;5;4826;37251
H;14_M;6;6315;33360
H;14_M;8;27505;25817
H;14_M;9;15319;25185
H;15_N;1;51069;83877
H;15_N;2;26656;61002
H;15_N;3;83880;37660
H;15_N;4;99301;30217
H;15_N;5;169013;27055
H;15_N;6;84566;33154
H;15_N;8;91757;32807
H;15_N;9;315930;22782
H;17_O;1;14234;52710
H;17_O;2;6012;46065
H;17_O;3;10484;34642
H;17_O;4;14947;28083
H;17_O;5;350;31746
H;17_O;6;286;30964
H;17_O;8;35;44028
H;17_O;9;so;so
H;18_P;1;6003;54742
H;18_P;2;9809;35790
H;18_P;3;4060;40304
H;18_P;4;5239;17129
H;18_P;5;4024;21824
H;18_P;6;206;28945
H;18_P;8;54;25085
H;18_P;9;959;17503
H;19_Q;1;17073;53586
H;19_Q;2;90275;46971
H;19_Q;3;41772;34564
H;19_Q;4;5521;23937
H;19_Q;5;70607;27136
H;19_Q;6;14928;22054
H;19_Q;8;22802;14256
H;19_Q;9;116236;14901
H;20_R;1;18215;93340
H;20_R;2;13110;45830
H;20_R;3;35501;43551
H;20_R;4;7961;30702
H;20_R;5;11389;26198
H;20_R;6;10910;28329
H;20_R;8;1865;33384
H;20_R;9;2066;27734
H;21_S;1;24410;54721
H;21_S;2;11079;40209
H;21_S;3;22637;31901
H;21_S;4;13287;25498
H;21_S;5;9714;30125
H;21_S;6;7908;24535
H;21_S;8;19015;20660
H;21_S;9;10219;21783
F;04_BDE;E;75392;48368
F;05_C;E;641781;39693
F;06_F;E;102256;40038
