SEXE;REG_NAF;REG;NB_POSTES;REMU_TOT_ANNU
E;03_B_E;FRG;229782;37204
E;03_B_E;FRH;175567;35341
E;03_B_E;FRI;195843;41796
E;03_B_E;FRJ;175011;44782
E;03_B_E;FRK;433451;46422
E;03_B_E;FRL;147293;45147
E;03_B_E;FRY;29524;41386
E;07_G_N;FR1;2931181;52270
E;07_G_N;FRB;229923;34551
E;07_G_N;FRC;265738;31720
E;07_G_N;FRD;306669;34344
E;07_G_N;FRE;764193;32608
E;07_G_N;FRF;538039;33043
E;07_G_N;FRG;496445;35566
E;07_G_N;FRH;391853;34066
E;07_G_N;FRI;637072;33977
E;07_G_N;FRJ;710800;34546
E;07_G_N;FRK;1053548;36080
E;07_G_N;FRL;611733;38141
E;07_G_N;FRY;174240;33233
E;16_O_S;FR1;484744;35820
E;16_O_S;FRB;99106;26751
E;16_O_S;FRC;84274;28645
E;16_O_S;FRD;128263;28056
E;16_O_S;FRE;194460;26688
E;16_O_S;FRF;224798;27181
E;16_O_S;FRG;161780;25852
E;16_O_S;FRH;86785;28994
E;16_O_S;FRI;252862;27426
E;16_O_S;FRJ;218649;28901
E;16_O_S;FRK;249602;30285
E;16_O_S;FRL;235042;27271
E;16_O_S;FRY;62606;31616
E;03_B_E;E;2809986;44558
E;07_G_N;E;9111433;40305
E;16_O_S;E;2482971;29489
F;04_BDE;FR1;23432;58747
F;04_BDE;FRB;3436;47182
F;04_BDE;FRC;1270;38448
F;04_BDE;FRD;1367;57683
F;04_BDE;FRE;8505;32820
F;04_BDE;FRF;5762;49906
F;04_BDE;FRG;412;46054
F;04_BDE;FRH;1839;57478
F;04_BDE;FRI;2498;38053
F;04_BDE;FRJ;13359;38640
F;04_BDE;FRK;8962;52279
F;04_BDE;FRL;3373;45754
F;04_BDE;FRY;1177;44513
F;05_C;FR1;95408;57402
F;05_C;FRB;46103;34502
F;05_C;FRC;32206;33812
F;05_C;FRD;34954;38155
F;05_C;FRE;40606;40816
F;05_C;FRF;63678;36732
F;05_C;FRG;54052;33500
F;05_C;FRH;47438;34239
F;05_C;FRI;37733;38488
F;05_C;FRJ;29432;40329
F;05_C;FRK;117909;35874
F;05_C;FRL;35749;40604
F;05_C;FRY;6512;35449
F;06_F;FR1;28022;46955
F;06_F;FRB;2127;28774
F;06_F;FRC;2310;38172
F;06_F;FRD;1449;38052
F;06_F;FRE;8260;37254
F;06_F;FRF;6512;34374
F;06_F;FRG;5544;35043
F;06_F;FRH;3943;48679
F;06_F;FRI;5917;47989
F;06_F;FRJ;10138;33174
F;06_F;FRK;18198;32258
F;06_F;FRL;9358;45904
F;06_F;FRY;477;40186
F;08_G;FR1;247369;40403
F;08_G;FRB;42529;29522
F;08_G;FRC;21789;26761
F;08_G;FRD;63504;30137
F;08_G;FRE;107104;28768
F;08_G;FRF;65042;28755
F;08_G;FRG;59378;30892
F;08_G;FRH;59218;26632
F;08_G;FRI;130434;26587
F;08_G;FRJ;82037;28468
F;08_G;FRK;141178;31357
F;08_G;FRL;82268;28970
F;08_G;FRY;25626;23046
F;09_H;FR1;128412;41267
F;09_H;FRB;11747;31913
F;09_H;FRC;22694;28417
F;09_H;FRD;13159;33407
F;09_H;FRE;34000;29772
F;09_H;FRF;17200;27882
F;09_H;FRG;16573;32487
F;09_H;FRH;10254;33966
F;09_H;FRI;40209;29270
F;09_H;FRJ;34676;30347
F;09_H;FRK;23273;35521
F;09_H;FRL;27313;46563
F;09_H;FRY;4121;41586
F;10_I;FR1;86956;22952
F;10_I;FRB;3434;41354
F;10_I;FRC;8511;23382
F;10_I;FRD;7632;22900
F;10_I;FRE;30357;17048
F;10_I;FRF;46134;22648
F;10_I;FRG;9499;34549
F;10_I;FRH;11652;26242
F;10_I;FRI;19697;23569
F;10_I;FRJ;30457;23276
F;10_I;FRK;37140;26660
F;10_I;FRL;36206;24860
F;10_I;FRY;5269;24692
F;11_J;FR1;135852;58041
F;11_J;FRB;2051;44816
F;11_J;FRC;2486;42612
F;11_J;FRD;3521;48111
F;11_J;FRE;10847;54488
F;11_J;FRF;12531;37144
F;11_J;FRG;12493;39388
F;11_J;FRH;7710;41903
F;11_J;FRI;8472;51531
F;11_J;FRJ;14978;45975
F;11_J;FRK;23417;44611
F;11_J;FRL;22426;42455
F;11_J;FRY;951;49052
F;12_K;FR1;138836;70660
F;12_K;FRB;10819;45264
F;12_K;FRC;16260;43710
F;12_K;FRD;11372;44353
F;12_K;FRE;29328;46665
F;12_K;FRF;24059;42006
F;12_K;FRG;29502;40381
F;12_K;FRH;28857;45629
F;12_K;FRI;29545;46985
F;12_K;FRJ;41660;40227
F;12_K;FRK;51581;44360
F;12_K;FRL;15910;47058
F;12_K;FRY;11067;49995
F;13_L;FR1;29866;44244
F;13_L;FRB;2252;35187
F;13_L;FRC;3743;32842
F;13_L;FRD;7380;28782
F;13_L;FRE;7633;33673
F;13_L;FRF;4973;38421
F;13_L;FRG;3241;33265
F;13_L;FRH;4672;30913
F;13_L;FRI;7521;33260
F;13_L;FRJ;5060;37887
F;13_L;FRK;16745;41267
F;13_L;FRL;7195;35287
F;13_L;FRY;3066;42157
F;14_M;FR1;227907;58223
F;14_M;FRB;6028;38106
F;14_M;FRC;16387;32652
F;14_M;FRD;23294;33967
F;14_M;FRE;20226;45382
F;14_M;FRF;20097;40730
F;14_M;FRG;17894;41040
F;14_M;FRH;20187;33391
F;14_M;FRI;22036;38532
F;14_M;FRJ;32065;36999
F;14_M;FRK;85560;41176
F;14_M;FRL;32402;38162
F;14_M;FRY;5967;31076
F;15_N;FR1;227357;32083
F;15_N;FRB;29461;24787
F;15_N;FRC;29273;25895
F;15_N;FRD;22455;20307
F;15_N;FRE;100348;23355
F;15_N;FRF;69909;23055
F;15_N;FRG;61215;24131
F;15_N;FRH;46788;24318
F;15_N;FRI;60383;25356
F;15_N;FRJ;58623;23421
F;15_N;FRK;103959;22581
F;15_N;FRL;71645;24322
F;15_N;FRY;17409;22425
F;17_O;FR1;54639;38282
F;17_O;FRB;1870;36891
F;17_O;FRC;4085;32495
